District_Name,State_Full,Agency ID - NCES Assigned,FIPS_Code,Total_Students,FTE_Teachers,Student_Teacher_Ratio,State_Abbr,Poverty_Rate,Median_Household_Income,Unemployment_Rate,Graduation_Outcome
21ST CENTURY CHARTER SCH OF GARY,Indiana,1800046.0,18097,1337.0,115.0,11.626086956521739,IN,15.600000000000001,66653.0,3.3000000000000003,Medium (80-89%)
21ST CENTURY CYBER CS,Pennsylvania,4200091.0,42029,1239.0,58.45,21.19760479041916,PA,6.2,120925.0,2.6,High (>=90%)
21ST CENTURY PUBLIC ACADEMY,NEW MEXICO,3500187.0,35001,393.0,29.7,13.232323232323232,NM,13.5,68286.0,3.5,Medium (80-89%)
A E R O  SPEC EDUC COOP,Illinois,1700024.0,17031,,63.0,,IL,13.200000000000001,80547.0,4.4,Medium (80-89%)
A W BEATTIE CAREER CENTER,Pennsylvania,4280010.0,42003,6.0,33.0,0.18181818181818182,PA,11.600000000000001,76488.0,3.3000000000000003,Medium (80-89%)
A W BROWN LEADERSHIP ACADEMY,Texas,4800095.0,48113,975.0,52.23,18.667432510051697,TX,13.8,74352.0,3.8000000000000003,Medium (80-89%)
A+ ACADEMY,Texas,4800203.0,48113,1588.0,90.95,17.460142935678945,TX,13.8,74352.0,3.8000000000000003,Medium (80-89%)
A+ ARTS ACADEMY,Ohio,3900305.0,39049,401.0,28.0,14.321428571428571,OH,15.100000000000001,71730.0,3.1,Medium (80-89%)
A+ CHARTER SCHOOLS (1000166),ARIZONA,400998.0,04021,268.0,,,AZ,11.8,77290.0,4.1000000000000005,Medium (80-89%)
A+ CHILDREN'S ACADEMY,Ohio,3901480.0,39049,96.0,9.0,10.666666666666666,OH,15.100000000000001,71730.0,3.1,Medium (80-89%)
A+ UNLIMITED POTENTIAL,TEXAS,4801453.0,48201,156.0,11.0,14.181818181818182,TX,16.0,72348.0,4.3,Medium (80-89%)
A-C CENTRAL CUSD 262,Illinois,1700105.0,17017,344.0,40.3,8.535980148883375,IL,11.600000000000001,64413.0,4.4,Medium (80-89%)
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,Virginia,5100033.0,51191,,,,VA,12.8,57758.0,2.9000000000000004,Medium (80-89%)
A.C.E. ACADEMY,North Carolina,3700372.0,37025,419.0,24.69,16.97043337383556,NC,9.1,85540.0,3.2,High (>=90%)
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,2700106.0,27093,851.0,68.35,12.450621799561084,MN,8.4,75351.0,3.1,High (>=90%)
ABBEVILLE 60,South Carolina,4500690.0,45001,2864.0,222.3,12.88349077822762,SC,15.3,51580.0,3.7,Medium (80-89%)
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,5500030.0,55019,798.0,48.88,16.325695581014728,WI,11.700000000000001,66994.0,2.8000000000000003,Medium (80-89%)
ABBOTT ISD,Texas,4807380.0,48217,286.0,25.39,11.264277274517527,TX,14.200000000000001,61840.0,4.0,Medium (80-89%)
